brand,model,status,release_year,navigation_type,navigation_detail,all_wheel_drive,max_coverage_m2,max_slope_pct,cutting_spec,coverage_tiers,lawn_size_class,price_snapshot_usd,price_snapshot_provider,price_snapshot_date,price_per_m2_usd,bestrobotmower_score,score_navigation,score_obstacle_avoidance,score_coverage,score_slope,score_coverage_per_dollar,model_page_url,coverage_source_url,slope_source_url,price_source_url,summary
Mammotion,Mammotion Luba 2 AWD 5000,shipping,2023,RTK GNSS,"Wire-free RTK GNSS, all-wheel drive, dual-antenna positioning",true,5000,80,40 cm cutting width; 25 to 70 mm cut height; brushless direct-drive blade discs.,"Luba 2 AWD 5000: Up to 5,000 m²; Luba 2 AWD 10000: Up to 10,000 m²",Estate lawns; Steep & terraced,2899,Mammotion Store,2026-08-24,0.58,4.7,4,5,4.9,5,4.7,https://bestrobotmower.co/mowers/mammotion-luba-2-awd-5000?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://support.mammotion.com/portal/en/kb/articles/luba-2-awd-series-specifications,https://support.mammotion.com/portal/en/kb/articles/luba-2-awd-series-specifications,https://us.mammotion.com/products/luba-2-awd-robot-lawn-mower,"Mammotion's large all-wheel-drive flagship: rated to 5,000 m² and slopes up to 80% grade, the class leader for big, steep, or terraced lawns. Wire-free RTK setup."
MOVA,MOVA LiDAX Ultra 3000 AWD,shipping,2026,LiDAR + Vision,"Wire-free 360° 3D LiDAR with AI dual-vision, all-wheel drive",true,3035,80,40 cm cutting width; 30 to 99 mm cut height; 360° LiDAR mapping with all-wheel-drive traction.,"LiDAX Ultra 3000 AWD: Up to 3,035 m² (0.75 acre)",Large lawns; Steep & terraced; Shaded & tree cover,2399,MOVA Store,2026-08-24,0.79,4.7,5,5,4.4,5,4.1,https://bestrobotmower.co/mowers/mova-lidax-ultra-3000-awd?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://us.mova.tech/pages/mova-lidax-ultra-3000-awd,https://us.mova.tech/pages/mova-lidax-ultra-3000-awd,https://us.mova.tech/products/mova-lidax-ultra-3000-awd-robotic-lawn-mower,"MOVA's premium all-wheel-drive flagship: 360° LiDAR plus AI vision for large lawns up to 0.75 acre that are also steep (80% slopes) or shaded, wire-free and RTK-free, with 4G tracking built in."
Dreame,Dreame Roboticmower A3 AWD Pro,shipping,2025,LiDAR + Vision,"Wire-free 360° 3D LiDAR with AI vision, all-wheel drive",true,2500,80,40 cm cutting width; 30 to 100 mm cut height; 360° LiDAR mapping with all-wheel-drive traction.,"Roboticmower A3 AWD Pro: Up to 2,500 m²",Large lawns; Steep & terraced; Shaded & tree cover,2249.99,Dreame Yard Care Store,2026-08-24,0.9,4.6,5,5,4.2,5,3.7,https://bestrobotmower.co/mowers/dreame-roboticmower-a3-awd-pro?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://yardcare.dreametech.com/products/a3-awd-pro-robot-lawn-mower,https://yardcare.dreametech.com/products/a3-awd-pro-robot-lawn-mower,https://yardcare.dreametech.com/products/a3-awd-pro-robot-lawn-mower,"Dreame's do-it-all flagship: 360° LiDAR navigation that works under trees plus all-wheel drive for 80% slopes, for large lawns that are also steep or shaded."
Ecovacs,Ecovacs Goat A2000 LiDAR PRO,shipping,2026,LiDAR + Vision,Wire-free HoloScope 360 dual-LiDAR with AIVI 3D vision,false,2023,50,32.9 cm cutting width; 30 to 90 mm cut height; dual-LiDAR 3D mapping with a built-in edge trimmer.,"Goat A2000 LiDAR PRO: Up to 2,023 m² (0.5 acre)",Mid-size lawns; Large lawns; Steep & terraced; Shaded & tree cover,1399,Ecovacs Store,2026-08-24,0.69,4.5,5,5,4,4,4.4,https://bestrobotmower.co/mowers/ecovacs-goat-a2000-lidar-pro?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://www.ecovacs.com/us/shop/goat-robotic-lawn-mower/goat-a2000-lidar-pro,https://www.ecovacs.com/us/shop/goat-robotic-lawn-mower/goat-a2000-lidar-pro,https://www.ecovacs.com/us/shop/goat-robotic-lawn-mower/goat-a2000-lidar-pro,"Ecovacs' 2026 mid-flagship Goat for lawns up to half an acre: dual-LiDAR HoloScope mapping plus AI vision, a built-in edge trimmer, and 50% slope climbing, wire-free, sitting between the Goat O1200 and the A3000."
Ecovacs,Ecovacs Goat G1,shipping,2023,LiDAR + Vision,Wire-free LiDAR and 3D vision with UWB beacon positioning,false,1600,45,22 cm cutting width; 30 to 60 mm cut height; night mowing with vision.,"Goat G1: Up to 1,600 m²; Goat G1-800: Up to 800 m²",Mid-size lawns; Shaded & tree cover,1599,Ecovacs Store,2026-08-24,1,4.3,5,5,3.8,3.8,3.4,https://bestrobotmower.co/mowers/ecovacs-goat-g1?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://www.ecovacs.com/au/goat-robotic-lawn-mower/goat-g1,https://www.ecovacs.com/au/goat-robotic-lawn-mower/goat-g1,https://www.ecovacs.com/us/goat-robotic-lawn-mower,"Ecovacs' beacon-and-LiDAR robot that avoids the tree-cover weakness of satellite mowers, with strong AI obstacle avoidance and the ability to mow at night."
Segway,Segway Navimow X330,shipping,2025,RTK + Vision,Wire-free RTK GNSS with VisionFence AI camera and obstacle avoidance,false,3000,50,23.7 cm cutting width; 20 to 70 mm cut height; multi-zone mapping.,"Navimow X330: Up to 3,000 m²; Navimow X350: Up to 5,000 m²",Large lawns; Shaded & tree cover,2299,Segway Navimow Store,2026-08-24,0.77,4.3,4,5,4.3,4,4.1,https://bestrobotmower.co/mowers/segway-navimow-x330?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://navimow.com/pages/navimow-x3-specs,https://navimow.com/pages/navimow-x3-specs,https://navimow.com/products/segway-navimow-x330,"Segway's larger wire-free flagship for big lawns: fused RTK and AI vision for reliable positioning under tree cover, real-time obstacle avoidance, and multi-zone mapping."
MOVA,MOVA LiDAX Ultra 1000,shipping,2026,LiDAR + Vision,Wire-free UltraView 2.0 360° 3D LiDAR with AI vision,false,1000,45,20 cm cutting width; 30 to 100 mm cut height; 360° LiDAR mapping at a quiet 57 dB.,"LiDAX Ultra 1000: Up to 1,000 m² (0.25 acre)",Small lawns; Steep & terraced; Shaded & tree cover,999,MOVA Store,2026-08-24,1,4.2,5,5,3.5,3.8,3.4,https://bestrobotmower.co/mowers/mova-lidax-ultra-1000?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://us.mova.tech/products/mova-lidax-ultra-1000-robot-lawn-mower,https://us.mova.tech/products/mova-lidax-ultra-1000-robot-lawn-mower,https://us.mova.tech/products/mova-lidax-ultra-1000-robot-lawn-mower,"The entry tier of MOVA's wire-free LiDAX Ultra line: 360° LiDAR plus AI vision for lawns up to 0.25 acre, 45% slopes, a quiet 57 dB, and built-in 4G tracking, at $999 direct."
Dreame,Dreame A3 AWD,shipping,,LiDAR + Vision,"Wire-free OmniSense 3.0 360° 3D LiDAR with binocular AI vision, all-wheel drive",true,1000,80,20 cm cutting width; 30 to 100 mm cut height; 360° LiDAR mapping with all-wheel-drive traction.,"A3 AWD: Up to 1,000 m² (0.25 acre); also a 2,000 m² tier",Small lawns; Mid-size lawns; Steep & terraced; Shaded & tree cover,1599.99,Dreame Yard Care Store,2026-08-24,1.6,4,5,5,3.5,5,1.5,https://bestrobotmower.co/mowers/dreame-a3-awd?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://yardcare.dreametech.com/products/a3-awd-robot-lawn-mower,https://yardcare.dreametech.com/products/a3-awd-robot-lawn-mower,https://yardcare.dreametech.com/products/a3-awd-robot-lawn-mower,"Dreame's wire-free all-wheel-drive A3 AWD (the non-Pro): 360° LiDAR plus AI vision and 80% slope climbing for small-to-mid lawns, with a pre-installed 4G module for tracking."
EcoFlow,EcoFlow Blade,shipping,2023,RTK GNSS,Wire-free RTK GNSS with an optional lawn-sweeping module,false,2800,27,"26 cm cutting width; 20 to 76 mm cut height; systematic mowing, with an optional sweeping attachment.","Blade: Up to 2,800 m²",Large lawns,2899,EcoFlow Store,2026-08-24,1.04,4,4,5,4.3,3.2,3.3,https://bestrobotmower.co/mowers/ecoflow-blade?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://www.ecoflow.com/au/blade-robotic-lawn-mower,https://www.ecoflow.com/au/blade-robotic-lawn-mower,https://www.ecoflow.com/au/blade-robotic-lawn-mower,"EcoFlow's design-forward wire-free mower for large lawns: RTK positioning plus an optional sweeper that clears debris, from a brand better known for its power stations."
Sunseeker,Sunseeker X3 Plus,shipping,2024,RTK + Vision,Wire-free RTK-GNSS with VSLAM camera vision (AONavi),false,1200,30,20.3 cm cutting width; 40 to 80 mm cut height; vision-assisted systematic mowing.,"X3 Plus: Up to 1,200 m²",Mid-size lawns; Shaded & tree cover,999,Sunseeker Store,2026-08-24,0.83,4,4,5,3.6,3.3,3.9,https://bestrobotmower.co/mowers/sunseeker-x3-plus?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://shopsunseekertech.com/products/x3-plus-wireless-robot-lawn-mower-l-0-3-acre,https://shopsunseekertech.com/products/x3-plus-wireless-robot-lawn-mower-l-0-3-acre,https://shopsunseekertech.com/products/x3-plus-wireless-robot-lawn-mower-l-0-3-acre,"Sunseeker's value wire-free mower for mid-size lawns: RTK plus camera vision at a sub-$1,000 price, one of the cheapest ways into vision-assisted wire-free mowing."
Worx,Worx Landroid Vision WR220,shipping,,Vision,Wire-free camera-based AI vision (boundaryless),false,2023,30,22 cm cutting width; 40 to 90 mm cut height; camera-vision guided with a self-leveling floating deck.,"Landroid Vision WR220: Up to 2,023 m² (0.5 acre)",Small lawns; Mid-size lawns; Large lawns,999.99,Worx Store,2026-08-24,0.49,4,3,5,4,3.3,5,https://bestrobotmower.co/mowers/worx-landroid-vision-wr220?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://www.worx.com/landroid-vision-20v-boundaryless-robotic-lawn-mower-1-2-acre-wr220.html,https://www.worx.com/landroid-vision-20v-boundaryless-robotic-lawn-mower-1-2-acre-wr220.html,https://www.worx.com/landroid-vision-20v-boundaryless-robotic-lawn-mower-1-2-acre-wr220.html,"Worx's boundaryless Landroid Vision (WR220) for lawns up to half an acre: it navigates purely by AI camera vision, no wire and no mapping, cutting an 8.7-inch width, at $799.99."
Mammotion,Mammotion Yuka 1500,shipping,2024,RTK + Vision,Wire-free RTK GNSS with front-camera vision and optional sweeping,false,1500,45,32 cm cutting width; 30 to 100 mm cut height; optional grass-sweeping module.,"Yuka 1500: Up to 1,500 m²; Yuka 2000: Up to 2,000 m²",Mid-size lawns; Shaded & tree cover; Cuts and collects,1799,Mammotion Store,2026-08-24,1.2,3.9,4,5,3.7,3.8,2.8,https://bestrobotmower.co/mowers/mammotion-yuka-1500?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://eu.mammotion.com/products/yuka-robot-lawn-mower,https://eu.mammotion.com/products/yuka-robot-lawn-mower,https://eu.mammotion.com/products/yuka-robot-lawn-mower,"Mammotion's vision-assisted mower for mid-size lawns, and the rare robot that can collect clippings and leaves with its sweeping accessory rather than only mulching."
Dreame,Dreame Roboticmower A1,shipping,2024,LiDAR + Vision,Wire-free 3D LiDAR navigation with AI vision (OmniSense),false,2000,45,22 cm cutting width; 30 to 70 mm cut height; LiDAR-mapped systematic mowing with obstacle avoidance.,"Roboticmower A1: Up to 2,000 m²",Large lawns; Shaded & tree cover,2099,Dreame Yard Care Store,2026-08-24,1.05,3.8,4.5,3.3,4,3.8,3.2,https://bestrobotmower.co/mowers/dreame-roboticmower-a1?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://global.dreametech.com/products/roboticmower-a1,https://global.dreametech.com/products/roboticmower-a1,https://global.dreametech.com/products/roboticmower-a1,"Dreame's LiDAR-first robot mower: it maps the yard in 3D and avoids obstacles without depending on a clear-sky satellite lock, a strong choice for tree-covered mid-to-large lawns."
Ecovacs,Ecovacs Goat O1200,shipping,2025,RTK + Vision,Wire-free RTK GNSS with TrueMapping and panoramic vision,false,1200,45,22 cm cutting width; 30 to 80 mm cut height; multi-zone mapping; obstacle avoidance.,"Goat O1200: Up to 1,200 m²; Goat O800: Up to 800 m²",Mid-size lawns; Shaded & tree cover,1499,Ecovacs Store,2026-08-24,1.25,3.8,4,5,3.6,3.8,2.6,https://bestrobotmower.co/mowers/ecovacs-goat-o1200?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://www.ecovacs.com/uk/shop/goat-robotic-lawn-mower/goat-o1200-lidar-pro,https://www.ecovacs.com/uk/shop/goat-robotic-lawn-mower/goat-o1200-lidar-pro,https://www.ecovacs.com/us/goat-robotic-lawn-mower,"The RTK generation of the Goat line: quicker mapping than the beacon G1 on open lawns, with panoramic-vision obstacle avoidance and app multi-zone control."
Mammotion,Mammotion Luba 2 AWD 1000,shipping,2023,RTK GNSS,"Wire-free RTK GNSS, all-wheel drive, dual-antenna positioning",true,1000,80,40 cm cutting width; 25 to 70 mm cut height; brushless direct-drive blade discs.,"Luba 2 AWD 1000: Up to 1,000 m²; Luba 2 AWD 3000: Up to 3,000 m²",Mid-size lawns; Steep & terraced,1599,Mammotion Store,2026-08-24,1.6,3.8,4,5,3.5,5,1.5,https://bestrobotmower.co/mowers/mammotion-luba-2-awd-1000?utm_source=github&utm_medium=readme&utm_campaign=mower-dataset,https://support.mammotion.com/portal/en/kb/articles/luba-2-awd-series-specifications,https://support.mammotion.com/portal/en/kb/articles/luba-2-awd-series-specifications,https://us.mammotion.com/products/luba-2-awd-robot-lawn-mower,"The all-wheel-drive Luba 2 for mid-size lawns that are steep or terraced: 80% slope capability in a package rated to roughly 1,000 m². Wire-free RTK."
